211000022278449	1188	1244	-
211000022278760	815	868	-
211000022279188	1490	1546	+
211000022279188	2048	2107	+
211000022280328	7524	7581	-
211000022280328	8552	9153	-
211000022280328	9381	9434	-
2L	8117	8192	+
2L	11345	11409	-
2L	11345	11778	-
2L	11519	11778	-
2L	12222	12285	-
2L	12929	13519	-
2L	13626	13682	-
2L	14875	14932	-
2L	15712	17052	-
2L	15712	19879	-
2L	15712	19884	-
2L	17213	18025	-
2L	17213	18260	-
2L	17213	19879	-
2L	17213	21135	-
2L	18169	18260	-
2L	20016	20830	-
2L	20016	21065	-
2L	20016	21135	-
2L	20021	21065	-
2L	20021	21135	-
2L	20974	21065	-
2L	21201	21348	-
2L	22688	22742	-
2L	22936	22993	-
2L	22942	22997	+
2L	23874	23928	-
2L	24211	24746	-
2L	26689	26765	-
2L	26965	27052	-
2L	27491	28014	-
2L	27491	28410	-
2L	28241	28732	-
2L	28640	28732	-
2L	28927	28981	-
2L	29069	30393	-
2L	29069	33844	-
2L	29069	34557	-
2L	29069	35745	-
2L	33271	33844	-
2L	33271	34557	-
2L	34289	34557	-
2L	34605	34719	-
2L	34913	35745	-
2L	35213	35745	-
2L	35213	38534	-
2L	38299	38534	-
2L	38732	39300	-
2L	39858	58080	-
2L	58177	59189	-
2L	58183	58248	-
2L	58183	58958	-
2L	58183	59189	-
2L	58183	65345	-
2L	58194	59189	-
2L	58351	59189	-
2L	58732	59189	-
2L	66613	66675	+
2L	67004	67388	+
2L	67112	67388	+
2L	67138	67388	+
2L	67508	67568	+
2L	67763	67891	+
2L	68024	68084	+
2L	70550	70606	+
2L	71805	71949	+
2L	72082	74902	+
2L	72978	74902	+
2L	73643	73754	-
2L	73693	73819	+
2L	73693	74902	+
2L	73898	74902	+
2L	74573	74902	+
2L	75019	75077	+
2L	77584	77641	+
2L	84278	87019	-
2L	94893	94988	+
2L	95071	95131	+
2L	95302	95353	+
2L	97834	97883	+
2L	98471	98526	+
2L	99724	99784	+
2L	100517	100571	+
2L	100704	100761	+
2L	100943	101015	+
2L	101195	101248	+
2L	101620	101875	+
2L	102907	103005	+
2L	103435	103515	+
2L	103435	103877	+
2L	104948	105004	-
2L	105337	105390	-
2L	105456	105511	-
2L	105916	105968	-
2L	107001	107764	+
2L	107839	108587	+
2L	107957	108587	+
2L	108102	108587	+
2L	108227	108587	+
2L	108347	108587	+
2L	108810	110405	+
2L	109794	110405	+
2L	110484	110754	+
2L	110878	111004	+
2L	110878	111906	+
2L	110878	112689	+
2L	111118	111906	+
2L	111118	112689	+
2L	112020	112689	+
2L	113370	113433	+
2L	114992	155545	+
2L	114992	155566	+
2L	114992	155637	+
2L	117760	117819	-
2L	118077	118135	-
2L	118305	118360	-
2L	118875	118930	-
2L	119077	119133	-
2L	119236	119287	-
2L	119236	119430	-
2L	119376	119430	-
2L	119555	119827	-
2L	120081	120167	-
2L	120081	120420	-
2L	120081	121632	-
2L	120266	120510	-
2L	120365	120420	-
2L	122995	123080	-
2L	123073	123139	+
2L	123259	123324	+
2L	123630	123693	-
2L	123795	123855	-
2L	124025	124086	-
2L	124921	125076	-
2L	125267	126109	-
2L	126228	128799	-
2L	128943	130507	-
2L	132256	132475	+
2L	136217	136272	+
2L	138591	138668	-
2L	139199	139255	-
2L	139386	139441	-
2L	139688	139740	-
2L	139955	140113	-
2L	141341	141395	-
2L	141610	141661	-
2L	141610	141670	-
2L	142663	142723	-
2L	145911	147348	-
2L	145911	147354	-
2L	147455	147510	-
2L	147711	147764	-
2L	147937	147994	-
2L	148038	148091	-
2L	148174	148337	-
2L	148826	148878	-
2L	149227	151114	-
2L	155060	155127	-
2L	155179	155249	+
2L	155411	155465	+
2L	155430	155545	+
2L	155430	155566	+
2L	155430	155637	+
2L	155785	155857	+
2L	156349	156422	+
2L	156553	156735	+
2L	158376	158435	-
2L	159820	160008	+
2L	159820	162591	+
2L	159824	162591	+
2L	163002	164158	+
2L	163002	175360	+
2L	163002	183760	+
2L	164235	175360	+
2L	175448	183760	+
2L	182914	183760	+
2L	183420	183760	+
2L	185083	185151	+
2L	186124	186192	+
2L	186856	186909	+
2L	187017	187481	+
2L	199576	199636	+
2L	199744	199902	+
2L	199744	200119	+
2L	199984	200119	+
2L	200316	200375	+
2L	200676	200741	+
2L	201062	201126	+
2L	203892	203992	+
2L	205213	205271	-
2L	205944	206000	-
2L	206051	206699	-
2L	206051	207230	-
2L	207632	207710	+
2L	208609	208728	+
2L	214943	215033	-
2L	215677	215772	-
